name,birthyear,birthdate,deathyear
Syed_Abdul_Hakim,1874,,1944
Moses_ibn_Ezra,1055,,1138
Francisco_Sanches,1550,,1623
Sibawayh,0760,,0796
Solomon_ibn_Gabirol,1021,,1058
Abu_Yusuf,0113,,0798
Sufyan_al-Thawri,0716,,0161
George_Ripley_(alchemist),1415,,1490
Euthymius_of_Athos,0955,,1024
Adam_of_Dryburgh,1140,,1212
Ioane_Petritsi,0011,,0012
Crates_of_Thebes,-365,,-285
Apollonius_of_Tyana,-003,,0100
Laozi,0006,,0005
Stilpo,-360,,-280
Abu_Jafar_al-Tahawi,0853,,0933
Yahya_ibn_Ma'in,0158,,0233
Ali_ibn_Ahmad_al-Samhudi,0844,,1505
Ali_ibn_Ahmad_al-Samhudi,0844,,1505
Albertus_Magnus__Albert_the_Great__1,1200,,1280
Bonaventure__Bonaventure__1,1221,,1274
Euclid_of_Megara,-435,,-365
Pherecydes_of_Syros,-580,,-520
Richard_Cantillon,1680,,1734
Haji_Dost_Muhammad_Qandhari,1216,,1868
‘Abd_ar-Razzaq_as-San‘ani,0126,,0211
Muhammad_Usman_Damani,1244,,1897
Mahdi_Amel,1936,,1987
Ata_ibn_Abi_Rabah,0033,,0114
Ibn_Abi_Asim,0206,,0900
Ibn_Abi_Asim,0206,,0900
Philo,-025,,0050
Hipparchia_of_Maroneia,-350,,-280
Kalanos,-398,,-323
Wahb_ibn_Munabbih,,,0725
Ibn_Jurayj,,,0150
Al-Hasan_ibn_'Ali_al-Barbahari,,,0941
Al-Hasan_ibn_'Ali_al-Barbahari,,,0941
Ubay_ibn_Ka'b,,,0649
Atiyya_ibn_Sa'd,,,0729
Atiyya_ibn_Sa'd,,,0729
Abd-Allah_ibn_Numayr,,,0814
Abd-Allah_ibn_Numayr,,,0814
Abd_al-Hamid_al-Katib,,,0749
Abu_Bakr_al-Sajistani,,,0941
Abu_Bakr_al-Sajistani,,,0941
Ali_al-Qari,,,1605
Ali_al-Qari,,,1605
Maulana_Abdul_Haleem_Faizabadi,,,1999
Bawa_Muhaiyaddeen,,,1986
Abul_A'la_Maududi,,,1979
Qadi_Thanaullah_Panipati,,,1225
Abu_Muslim_al-Khawlani,,,0684
Charles_Guignon,1944,,
Pāṇini,0004,,
Agnodice,0004,,
Kumārila_Bhaṭṭa,0700,,
Philip_Lindholm,0010,,
Kanada_(philosopher),0002,,
Wang_Keping_(academic),1955,,
Aenesidemus,0001,,
Ismail_ibn_Musa_Menk,,,
Daniel_Hutto,,,
Ghislain_Deslandes,,,
Mari_Ruti,,,
Paul_Redding,,,
Richard_Grandy,,,
Santiago_Zabala,,,
John_O'Neill_(philosopher),,,
Melissus_of_Samos,,,
Zar_Wali_Khan,,,
Georg_Stenger,,,
Frances_Kamm,,,
John_Lachs,,,
Michael_Tye_(philosopher),,,
Jeremy_Shearmur,,,
Robert_A._Vitas,,,
Tomoko_Masuzawa,,,
Tawus_ibn_Kaysan,,,
Mahmoud_Khatami,,,
Ruth_Macklin,,,
James_R_Payton_Jr.,,,
Lydia_Goehr,,,
Amy_Allen_(philosopher),,,
Diego_Bubbio,,,
Gary_Gutting,,,
Rosalyn_Diprose,,,
Vanessa_Lemm,,,
Averroism,,,
James_Kurth,,,
Al-Isfahani,,,
Al-Raghib_al-Isfahani,,,
Nathan_Widder,,,
William_Desmond_(philosopher),,,
Reza_Negarestani,,,
Hilary_Lawson,,,
Robin_Collins,,,
Heinrich_Rombach,,,
Eric_T._Olson_(philosopher),,,
Susan_Buck-Morss,,,
Asclepiodotus_of_Alexandria,,,
Jennifer_Whiting,,,
Joshua_Knobe,,,
Patricia_Greenspan,,,
Chris_Cuomo_(philosopher),,,
Iain_Hamilton_Grant,,,
Ahmad_ibn_Muhammad_al-Tha'labi,,,
Barbara_F._Walter,,,
Alexander_R._Galloway,,,
David_Pearce_(philosopher),,,
Geoffrey_Scarre,,,
Wolfi_Landstreicher,,,
Bishnois,,,
Donniel_Hartman,,,
Kathryn_Gines,,,
Louise_Antony,,,
Brian_J._Mistler,,,
Debra_Satz,,,
James_Fieser,,,
Sally_Scholz,,,
Penelope_Deutscher,,,
Sally_Sedgwick,,,
William_Crathorn,,,
Susanna_Siegel,,,
Ruth_Chang,,,
Muhsin_al-Hakim,,,
"Harlan_Ellison__Edgar_Allan_Poe,_Theodore_Sturgeon,_Franz_Kafka,_J__1",,,
"John_Henry_Newman__%22Dr_Newman%22,_%22Cardinal_Newman%22__1",,,
"Martin_Gardner__Plato,_Kant,_G._K._Chesterton,_William_James,_Char__1",,,
Joseph_Butler__Western_Philosophy__1,,,
Michel_Aflaq__4,,,
Nikolas_Kompridis,,,
Lorraine_Smith_Pangle,,,
Steven_P._Scalet,,,
Gila_Sher,,,
Jonathan_Lear,,,
Tony_Fry,,,
Anita_Superson,,,
Jaimini,,,
Carl_Raschke,,,
Tina_Fernandes_Botts,,,
Mary_G._Dietz,,,
Margaret_Urban_Walker,,,
Michael_Selgelid,,,
Randall_Schweller,,,
Stephen_Law,,,
Levi_Bryant,,,
Jalaluddin_Umri,,,
Lewis_Call,,,
Jennifer_Lackey,,,
Ann_Cudd,,,
Miriam_Solomon,,,
Nicholas_Burbules,,,
Alison_Wylie,,,
John_Hawthorne,,,
Sharon_Lloyd,,,
Nancy_Snow,,,
Steve_Awodey,,,
Michael_P._Lynch,,,
Ebrahim_Desai,,,
Dominic_of_Flanders,1425,,1479
Anaxagoras,-510,,-428
Anaximander,-610,,-546
Anaximenes_of_Miletus,-585,,-528
Aristotle,-384,,-322
Chrysippus,-279,,-206
Lucretius,-099,,-055
Athenodorus_Cananites,-074,,0007
Strato_of_Lampsacus,-335,,-269
Gaius_Musonius_Rufus,0020,,0101
Abd_al-Rahman_al-Kawakibi,1855,,1902
David_the_Invincible,0006,,0006
Diogenes_of_Sinope,-412,,-323
Zeno_of_Sidon,-150,,-075
Mirza_Mazhar_Jan-e-Janaan,0011,,0010
Burhan_al-Din_al-Marghinani,0008,,0014
Jiva_Goswami,1513,,1598
Ibn_Dihya_al-Kalby,1150,,1235
Walter_of_Bruges,1227,,1307
Ibn_Abd_al-Hadi,0705,,0744
Imam_Muhammad_Anwaarullah_Farooqui,0004,,0029
Khalil_ibn_Ishaq_al-Jundi,,,1365
Hammam_ibn_Munabbih,,,0750
Hammam_ibn_Munabbih,,,0750
Abu_Hilal_al-Askari,,,1005
Abu_Hilal_al-Askari,,,1005
Hazrat_Babajan,,,1931
Fazal_Ali_Qureshi,,,1935
Sayyad_Laal_Shah_Hamdani,,,1896
Bannanje_Govindacharya,0003,,
Ghulam_Rasool_Jamaati,1923,,
Jayanta_Bhatta,0009,,
Cleopatra_the_Alchemist,0003,,
Ali_Akbar_Rashad,1955,,
Richard_J._F._Day,1964,,
Mark_Addis,1959,,
Jan_Boxill,1939,,
Shabir_Ally,,,
Marc_Ereshefsky,,,
William_MacAskill,,,
Deirdre_Wilson,,,
David_N._Stamos,,,
Marcia_Baron,,,
Jenann_Ismael,,,
Ken_Gemes,,,
David_Blitz,,,
Amélie_Rorty,,,
Stephen_Laurence,,,
Amjad_Jauhari,,,
Alison_McIntyre,,,
Seana_Shiffrin,,,
Elisabeth_Camp,,,
Pamela_Hieronymi,,,
Cristina_Bicchieri,,,
Ron_Polansky,,,
Kwak_Jun-hyeok,,,
Gary_Winkel,,,
Bradley_Dowden,,,
Donald_Palmer,,,
Naomi_Zack,,,
Gerald_O'Collins,,,
Dan_Goldstick,,,
Ka'ab_al-Ahbar,,,
David_M._Rosenthal_(philosopher),,,
Abas_(sophist),,,
Abu-Abdullah_Adelabu,,,
Eugene_Thacker,,,
Harry_Brighouse,,,
Duncan_McCargo,,,
James_P._Carse,,,
David_Estlund,,,
Gail_Fine,,,
Rupert_Read__Rupert_Read__1,,,
Ewa_Ziarek,,,
