,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Muhammad_Mustafa_Jauhar,1,,,,,,,0,,,,,,
Leonardo_Polo,6,1371.6,983.654055042,-384.0,1889.0,1445.4,990.602745807,0,,,,,,
Julian_Savulescu,1,1946.0,,1946.0,1946.0,,,0,,,,,,
Francis_Fukuyama,3,1850.0,113.13708499,1770.0,1930.0,1911.5,113.844191771,0,,,,,,
Jacques_Ellul,4,1833.66666667,35.2183664206,1809.0,1874.0,1898.66666667,43.6615773116,5,1923.75,4.78713553878,1918.0,1929.0,1993.0,7.87400787401
Chris_Harman,3,1843.0,41.5812457726,1818.0,1891.0,1905.0,28.3548937575,1,1950.0,,1950.0,1950.0,,
Joseph_Dietzgen,6,1732.33333333,79.3515385274,1632.0,1818.0,1797.16666667,83.8890139808,2,1836.0,25.4558441227,1818.0,1854.0,1910.5,38.8908729653
Ivo_Urbančič,1,1889.0,,1889.0,1889.0,1976.0,,0,,,,,,
Jakob_Böhme,1,1493.0,,1493.0,1493.0,1541.0,,4,1801.75,48.7604689614,1770.0,1874.0,1873.25,51.3768754727
Richard_David_Precht,1,1953.0,,1953.0,1953.0,,,0,,,,,,
Emil_Fackenheim,3,1756.33333333,28.1128677536,1724.0,1775.0,1829.66666667,25.0266524596,0,,,,,,
Shibli_Nomani,1,1817.0,,1817.0,1817.0,1898.0,,2,1928.0,33.941125497,1904.0,1952.0,1997.0,
Hent_de_Vries,1,1926.0,,1926.0,1926.0,,,0,,,,,,
George_Gurdjieff,0,,,,,,,1,1898.0,,1898.0,1898.0,1974.0,
Friedrich_Wilhelm_Foerster,1,1724.0,,1724.0,1724.0,1804.0,,0,,,,,,
Speusippus,1,-428.0,,-428.0,-428.0,-348.0,,1,-396.0,,-396.0,-396.0,314.0,
David_Orton_(deep_ecology),2,1935.0,,1935.0,1935.0,1996.0,,0,,,,,,
Debiprasad_Chattopadhyaya,1,1818.0,,1818.0,1818.0,1883.0,,1,1947.0,,1947.0,1947.0,,
Svetozar_Marković,1,1818.0,,1818.0,1818.0,1883.0,,1,,,,,,
Gerald_Cohen,3,1875.66666667,50.1431284757,1818.0,1909.0,1952.0,60.6712452485,2,1959.0,,1959.0,1959.0,,
Zeno_of_Citium,4,-402.5,88.5531855252,-535.0,-350.0,-330.0,96.6953980291,6,-146.333333333,150.831915279,-330.0,55.0,-29.5,159.540277046
Peter_G._Ossorio,1,1889.0,,1889.0,1889.0,1951.0,,0,,,,,,
Plato,9,-138.875,862.327819253,-570.0,1946.0,-438.166666667,45.411085284,90,1420.7972973,793.896821903,-408.0,1980.0,1426.73015873,781.089400656
Herbert_Blumer,4,1861.0,2.94392028878,1858.0,1864.0,1932.5,14.2009389361,0,,,,,,
Raymond_Geuss,6,1848.66666667,50.2858495669,1770.0,1903.0,1919.0,57.6020832957,0,,,,,,
Friedrich_Albert_Lange,1,1724.0,,1724.0,1724.0,1804.0,,1,1844.0,,1844.0,1844.0,1900.0,
Jacques_Lacan,9,1858.57142857,48.1208795391,1770.0,1897.0,1930.85714286,57.2405117943,20,1947.0,16.9437572306,1918.0,1973.0,1992.5,3.53553390593
Annette_Baier,2,1811.5,142.128463018,1711.0,1912.0,1882.5,150.613744393,2,,,,,,
Joseph_de_Maistre,5,861.8,1158.24703755,-428.0,1754.0,936.4,1161.52886318,9,1835.55555556,63.5454780278,1754.0,1911.0,1916.55555556,67.8161321352
Sidney_Hook,4,1857.25,27.5605394238,1818.0,1880.0,1938.0,37.9736750921,2,1922.0,4.24264068712,1919.0,1925.0,2000.0,16.9705627485
Timothy_Morton,1,1968.0,,1968.0,1968.0,,,0,,,,,,
Ferdinand_de_Saussure,1,1840.0,,1840.0,1840.0,1916.0,,12,1916.11111111,12.9946570217,1896.0,1935.0,1989.22222222,16.4983164124
Alexander_R._Galloway,5,1891.5,52.7162214124,1818.0,1934.0,1951.33333333,59.9360770599,0,,,,,,
Ibn_Jurayj,1,33.0,,33.0,33.0,114.0,,1,,,,,,
Jaegwon_Kim,1,1905.0,,1905.0,1905.0,1997.0,,0,,,,,,
Seneca_the_Younger,2,-234.5,140.714249456,-334.0,-135.0,-156.5,149.19953083,2,1006.5,744.583440589,480.0,1533.0,1058.0,755.190042307
Friedrich_Nietzsche,23,1065.72727273,1023.25992517,-535.0,1837.0,1127.13636364,1020.39942205,78,1921.93939394,31.0789955228,1847.0,1973.0,1974.20512821,29.5965676239
George_Santayana,4,728.75,1176.64533739,-460.0,1842.0,790.5,1169.15824421,2,1861.0,,1861.0,1861.0,1947.0,
Rudolf_Sutermeister,1,1772.0,,1772.0,1772.0,1837.0,,0,,,,,,
Socrates,1,-515.0,,-515.0,-515.0,-460.0,,15,590.833333333,1176.4501947,-445.0,1937.0,544.545454545,1149.6153586
Renzo_Novatore,4,1825.0,33.9607616719,1788.0,1862.0,1885.25,33.1197322856,1,,,,,,
Gianni_Vattimo,5,1884.4,53.2099614734,1818.0,1940.0,1941.5,59.5119035712,3,1931.0,,1931.0,1931.0,2007.0,
David_Malet_Armstrong,1,1893.0,,1893.0,1893.0,1962.0,,1,1965.0,,1965.0,1965.0,,
Ruth_Chang,1,1942.0,,1942.0,1942.0,,,0,,,,,,
Giles_Hooper,2,1903.0,,1903.0,1903.0,1969.0,,0,,,,,,
Reza_Davari_Ardakani,1,1889.0,,1889.0,1889.0,1976.0,,1,1963.0,,1963.0,1963.0,,
J._L._Austin,2,1886.5,19.091883092,1873.0,1900.0,1967.0,12.7279220614,9,1929.33333333,16.6092343793,1907.0,1956.0,1997.0,7.07106781187
Peter_Geach,4,1304.75,1125.95836957,-384.0,1889.0,1369.75,1127.89992907,2,1930.0,1.41421356237,1929.0,1931.0,,
Gerald_O'Collins,1,-428.0,,-428.0,-428.0,-348.0,,0,,,,,,
Wolfgang_Smith,6,833.6,1157.90729335,-428.0,1861.0,908.6,1162.67527711,1,1947.0,,1947.0,1947.0,,
Georg_Wilhelm_Friedrich_Hegel,21,1214.16666667,872.651756565,-535.0,1946.0,1235.52941176,880.238399359,116,1893.76041667,48.8976901385,1796.0,1980.0,1948.22535211,48.7017738554
Goran_Švob,1,1848.0,,1848.0,1848.0,1925.0,,0,,,,,,
