,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Muhammad_Mustafa_Jauhar,0,,,,,,,0,,,,,,
Leonardo_Polo,3,1033.66666667,1236.44503854,-384.0,1889.0,1101.33333333,1243.37336843,0,,,,,,
Julian_Savulescu,1,1946.0,,1946.0,1946.0,,,0,,,,,,
Francis_Fukuyama,2,1916.0,19.7989898732,1902.0,1930.0,1980.0,16.9705627485,0,,,,,,
Jacques_Ellul,4,1828.5,30.5559595933,1809.0,1874.0,1887.75,41.8041066563,4,1923.75,4.78713553878,1918.0,1929.0,1993.0,7.87400787401
Moses_Mendelssohn,4,1539.5,272.835115042,1137.0,1743.0,1610.75,276.035474773,3,1798.66666667,87.065109736,1743.0,1899.0,1864.0,94.8736001214
Ivo_Urbančič,1,1889.0,,1889.0,1889.0,1976.0,,0,,,,,,
Jakob_Böhme,1,1493.0,,1493.0,1493.0,1541.0,,3,1812.33333333,53.799008665,1775.0,1874.0,1887.33333333,52.6244556583
Richard_David_Precht,1,1953.0,,1953.0,1953.0,,,0,,,,,,
Emil_Fackenheim,1,1775.0,,1775.0,1775.0,1854.0,,0,,,,,,
Shibli_Nomani,1,1817.0,,1817.0,1817.0,1898.0,,2,1928.0,33.941125497,1904.0,1952.0,1997.0,
Hent_de_Vries,1,1926.0,,1926.0,1926.0,,,0,,,,,,
George_Gurdjieff,0,,,,,,,1,1898.0,,1898.0,1898.0,1974.0,
Friedrich_Wilhelm_Foerster,0,,,,,,,0,,,,,,
Debiprasad_Chattopadhyaya,1,1818.0,,1818.0,1818.0,1883.0,,1,1947.0,,1947.0,1947.0,,
Svetozar_Marković,1,1818.0,,1818.0,1818.0,1883.0,,1,1949.0,,1949.0,1949.0,,
Gerald_Cohen,3,1875.66666667,50.1431284757,1818.0,1909.0,1952.0,60.6712452485,1,1959.0,,1959.0,1959.0,,
Zeno_of_Citium,4,-402.5,88.5531855252,-535.0,-350.0,-330.0,96.6953980291,5,-138.6,167.300029886,-330.0,55.0,-57.4,161.177852077
Peter_G._Ossorio,0,,,,,,,0,,,,,,
Hans_Reichenbach,0,,,,,,,2,1933.5,10.6066017178,1926.0,1941.0,,
Herbert_Blumer,4,1861.0,2.94392028878,1858.0,1864.0,1932.5,14.2009389361,0,,,,,,
Raymond_Geuss,5,1864.4,36.1150937975,1818.0,1903.0,1936.6,42.7118250605,0,,,,,,
Friedrich_Albert_Lange,0,,,,,,,1,1844.0,,1844.0,1844.0,1900.0,
Jacques_Lacan,8,1881.25,29.9129689982,1818.0,1908.0,1957.75,40.3334317197,15,1945.53333333,15.7383365733,1918.0,1973.0,1992.33333333,2.51661147842
Annette_Baier,2,1811.5,142.128463018,1711.0,1912.0,1882.5,150.613744393,0,,,,,,
Joseph_de_Maistre,4,1184.25,1046.68759268,-384.0,1754.0,1257.5,1054.27589684,9,1835.55555556,63.5454780278,1754.0,1911.0,1916.55555556,67.8161321352
Sidney_Hook,4,1857.25,27.5605394238,1818.0,1880.0,1938.0,37.9736750921,2,1922.0,4.24264068712,1919.0,1925.0,2000.0,16.9705627485
Ferdinand_de_Saussure,1,1840.0,,1840.0,1840.0,1916.0,,12,1911.41666667,14.5130557733,1891.0,1935.0,1986.75,18.9214885057
Jaegwon_Kim,1,1905.0,,1905.0,1905.0,1997.0,,0,,,,,,
