"subject","predicate","object"
"http://dbpedia.org/resource/Leonardo_Caffo","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Maurizio_Ferraris"
"http://dbpedia.org/resource/Syed_Zahoor_Shah_Hashmi","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Zubaida_Jalal_Khan"
"http://dbpedia.org/resource/Syed_Zahoor_Shah_Hashmi","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Muhammad_Iqbal"
"http://dbpedia.org/resource/Syed_Zahoor_Shah_Hashmi","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Rumi"
"http://dbpedia.org/resource/Christoph_Luetge","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/James_M._Buchanan"
"http://dbpedia.org/resource/Ghislain_Deslandes","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Ghislain_Deslandes","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Blaise_Pascal"
"http://dbpedia.org/resource/Ghislain_Deslandes","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Michel_Henry"
"http://dbpedia.org/resource/Ghislain_Deslandes","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Henri_Bergson"
"http://dbpedia.org/resource/Ghislain_Deslandes","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Paul_Ricœur"
"http://dbpedia.org/resource/Mari_Ruti","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Jacques_Lacan"
"http://dbpedia.org/resource/Natalia_Magnat","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Natalia_Magnat","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Vladimir_Lenin"
"http://dbpedia.org/resource/Natalia_Magnat","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Jean-Paul_Sartre"
"http://dbpedia.org/resource/Ramkrishna_Bhattacharya","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Debiprasad_Chattopadhyaya"
"http://dbpedia.org/resource/Ramkrishna_Bhattacharya","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Santiago_Zabala","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Richard_Rorty"
"http://dbpedia.org/resource/Santiago_Zabala","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Hans-Georg_Gadamer"
"http://dbpedia.org/resource/Santiago_Zabala","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Gianni_Vattimo"
"http://dbpedia.org/resource/Santiago_Zabala","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Abdel_Rahman_Badawi","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Alexandre_Koyré"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Radical_Orthodoxy"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Stanley_Hauerwas"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Postliberal_theology"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Edith_Stein"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Augustine_of_Hippo"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/R._G._Collingwood"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Thomas_Kuhn"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/John_Henry_Newman"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Karl_Marx"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Alasdair_MacIntyre","http://dbpedia.org/ontology/influencedBy","http://dbpedia.org/resource/Imre_Lakatos"
"http://dbpedia.org/resource/Alexander_Herzen","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Peter_Kropotkin"
"http://dbpedia.org/resource/Alexander_Herzen","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Jean-Paul_Sartre"
"http://dbpedia.org/resource/Alexander_Herzen","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Mao_Zedong"
"http://dbpedia.org/resource/Alexander_Herzen","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Leon_Trotsky"
"http://dbpedia.org/resource/Alexander_Herzen","http://dbpedia.org/ontology/influenced","http://dbpedia.org/resource/Vladimir_Lenin"
