,values,score
0,"0.0267040800759*sees 0.0136910400111*anna-teresa 0.0136910400076*tymieniecka 0.00686417778265*a.-t. 0.00686417778265*tymieniecka, 0.00686417665204*mcguire, 0.00686417648412*'origins' 3.76676234705e-05*relationship 3.73236126538e-05*letters 3.73189506216e-05*book",-5.44119742658
1,0.0466291279698*articles 0.020191731181*dummett 3.81531981624e-05*frame 3.79067976448e-05*p. 3.79067835424e-05*sahlqvist 3.79067029972e-05*other 3.79065559276e-05*called 3.79063259691e-05*also 3.79061846851e-05*work 3.79061756253e-05*new,-9.35919654668
2,"0.0137053102754*statue 0.00720866825709*oakley 0.00720866766142*crathorn 0.00720866746814*ordination 3.91900963982e-05*p. 3.91898484043e-05*also 3.91897247447e-05*new 3.91893686022e-05*& 3.91888505382e-05*after 3.91888292974e-05*press,",-13.2935323169
3,"0.00736206292372*should 0.00736206276254*vailati 4.00213130762e-05*other 4.0021272056e-05*""a 4.00212638718e-05*essays 4.00212562522e-05*york 4.00212425065e-05*first 4.00212425e-05*new 4.00212298098e-05*university 4.00212225516e-05*work",-16.0398514296
4,0.0258286053714*also 0.0257023362935*other 0.0251725379378*works 0.0233910635586*first 0.0222632427924*their 0.0217327955484*p. 0.0183491714649*work 0.0174675353298*university 0.0171066454666*new 0.0167790393855*most,-17.615679659
5,0.0107091043834*took 0.00963752947908*following 0.00950408388965*led 0.00891086828673*after 0.00848967020118*under 0.00838949287817*during 0.0081988051098*became 0.00816173847546*military 0.00806832060151*p. 0.0080122631685*political,-18.0674038374
6,"0.0219197830634*caliph 0.0219000124135*governor 0.0187246073455*umayyad 0.0181520831657*ali's 0.0181520831532*abbasid 0.0181520811323*hasan 0.0166290400016*ali, 0.0157619544138*bakr 0.0147378914886*rahman 0.0147378909395*muawiyah",-19.6944795795
7,0.0169007533965*life 0.0162579228258*published 0.0148370957513*first 0.0146393260902*after 0.0140029214778*new 0.0134318500157*also 0.0133739956297*retrieved 0.0132316488453*other 0.0130639460477*book 0.0112956639934*work,-21.1750182939
8,0.0107912835934*out 0.00976532294166*no 0.00894936581917*own 0.00894611033877*then 0.00880536859417*part 0.00875064623346*them 0.00849183576574*before 0.00840032372203*time 0.00832178069227*made 0.00823308075115*over,-23.3294004134
9,"0.0462974803178*1971 0.0267555427804*rahman 0.0158607730786*azam 0.0158607730343*star. 0.0153692822573*pakistan 0.0109245910248*motorcycle 0.0109245899364*1971, 0.00625911694644*after 0.00622114343531*pakistan, 0.00587568015209*september",-26.3226451903
10,"0.025979738244*phenomenon 0.0193380535329*sumner 0.0193380534575*sumner, 0.0134670108445*pp. 0.00833354948424*4 0.00667798844407*jonas, 0.00667798830445*hastings 0.00667798769126*report 3.72826777845e-05*university 3.72319166598e-05*philosophy",-28.4521808188
11,0.0484469287287*catholic 0.0379346521058*pope 0.0316381799647*thomas 0.0310608781292*von 0.0301106967204*de 0.0297855719754*john 0.0252337328787*paul 0.0248142292581*church 0.0240571058579*peter 0.0217941746658*history,-28.8486948334
12,0.031155746249*retrieved 0.0172479243488*january 0.0170901582463*2012. 0.0164242419503*november 0.0161283763295*june 0.0159203821531*2013. 0.0158787180709*february 0.0157750682113*march 0.0157414990682*september 0.0155715246289*april,-30.190727278
13,0.00833290081953*government 0.00830415494693*war 0.00701910080049*support 0.00684018787402*civil 0.00645761206975*second 0.00594446032618*united 0.00537536228837*national 0.00529405105816*conference 0.00519276473842*history 0.00512251939467*against,-30.3328685071
14,0.0321220760306*rationality 0.027397800048*celestial 0.0268740072022*presentation 0.0169700580598*question 0.0111867054*considerations 0.00603868983402*work 0.00586834427595*works 0.00573464290704*human 0.00567662106033*people 0.00567107238794*october,-31.0754433163
15,"0.0319528736497*fifth 0.0214843815438*trinity 0.015991446829*assembly, 0.0158364430665*pérez 0.01101458568*referendum 0.00552230858912*pentland 0.00552230854588*mahaffy 0.00552230804844*voted 0.0055223079662*rates 0.00552230795457*universal.",-31.2109856199
16,0.0303466059629*c. 0.0271382784714*e. 0.0269070537234*h. 0.0265699381289*f. 0.0249209816443*j. 0.0240957036084*a. 0.0224749103794*g. 0.0210393883522*l. 0.0209166845433*george 0.019942242846*robert,-31.8055746898
17,0.0258389951178*st. 0.0234035893522*holy 0.0226920337242*alexandria 0.0220995290735*church 0.019738013546*saint 0.0196352699564*roman 0.0185368574152*leo 0.0180667870147*orthodox 0.0171453701262*gregory 0.0169859653908*ii,-33.0292762289
18,0.0934620193889*socialist 0.0879757582183*party 0.0632313213998*socialism 0.0577797843362*communist 0.0574312027704*social 0.0554910565225*democratic 0.0473469063638*international 0.0390563672117*labor 0.0321277617161*america 0.0318675616902*new,-34.0095469542
19,"0.0234949610654*commune 0.0190763509719*hours 0.0177958118148*presses 0.0151161801727*publishing 0.0141995079156*gallimard 0.0141995075143*visitors 0.0141995072589*meditations 0.0132425607066*religion 0.0131086157018*books, 0.00493997589716*theory",-34.3322578124
20,0.0286850708727*movie 0.0274142018255*films 0.0239799316575*(2001) 0.0187810994*sound 0.0166483762835*(2007) 0.0159935433203*(1986) 0.0134568730098*walt 0.012883742626*little 0.0113474101415*(1995) 0.010925837464*(1980),-35.7116175614
